active,name,provider,category,uid,username,group,secondary_groups,password
true,Estudiante-01,local,ATECA_AIZQ,Estudiante-01,Estudiante-01,Main,,
true,Estudiante-02,local,ATECA_AIZQ,Estudiante-02,Estudiante-02,Main,,
true,Estudiante-03,local,ATECA_AIZQ,Estudiante-03,Estudiante-03,Main,,
true,Estudiante-04,local,ATECA_AIZQ,Estudiante-04,Estudiante-04,Main,,
true,Estudiante-05,local,ATECA_AIZQ,Estudiante-05,Estudiante-05,Main,,
true,Estudiante-06,local,ATECA_AIZQ,Estudiante-06,Estudiante-06,Main,,
true,Estudiante-07,local,ATECA_AIZQ,Estudiante-07,Estudiante-07,Main,,
true,Estudiante-08,local,ATECA_AIZQ,Estudiante-08,Estudiante-08,Main,,
true,Estudiante-09,local,ATECA_AIZQ,Estudiante-09,Estudiante-09,Main,,
true,Estudiante-10,local,ATECA_AIZQ,Estudiante-10,Estudiante-10,Main,,
true,Estudiante-11,local,ATECA_AIZQ,Estudiante-11,Estudiante-11,Main,,
true,Estudiante-12,local,ATECA_AIZQ,Estudiante-12,Estudiante-12,Main,,
true,Estudiante-13,local,ATECA_AIZQ,Estudiante-13,Estudiante-13,Main,,
true,Estudiante-14,local,ATECA_AIZQ,Estudiante-14,Estudiante-14,Main,,
true,Estudiante-15,local,ATECA_AIZQ,Estudiante-15,Estudiante-15,Main,,
true,Estudiante-16,local,ATECA_AIZQ,Estudiante-16,Estudiante-16,Main,,
true,Estudiante-17,local,ATECA_AIZQ,Estudiante-17,Estudiante-17,Main,,
true,Estudiante-18,local,ATECA_AIZQ,Estudiante-18,Estudiante-18,Main,,
true,Estudiante-19,local,ATECA_AIZQ,Estudiante-19,Estudiante-19,Main,,
true,Estudiante-20,local,ATECA_AIZQ,Estudiante-20,Estudiante-20,Main,,
true,Manager_AIZQ,local,ATECA_AIZQ,Manager_AIZQ,Manager_AIZQ,Main,,
true,Profe-01,local,ATECA_AIZQ,Profe-01,Profe-01,Main,,
true,Profe-02,local,ATECA_AIZQ,Profe-02,Profe-02,Main,,
