active,name,provider,category,uid,username,group,secondary_groups,password
TRUE,Estudiante-01,local,ATECA_AIZQ,Estudiante-01,Estudiante-01,Main,,C@mbiame1!
TRUE,Estudiante-02,local,ATECA_AIZQ,Estudiante-02,Estudiante-02,Main,,C@mbiame1!
TRUE,Estudiante-03,local,ATECA_AIZQ,Estudiante-03,Estudiante-03,Main,,C@mbiame1!
TRUE,Estudiante-04,local,ATECA_AIZQ,Estudiante-04,Estudiante-04,Main,,C@mbiame1!
TRUE,Estudiante-05,local,ATECA_AIZQ,Estudiante-05,Estudiante-05,Main,,C@mbiame1!
TRUE,Estudiante-06,local,ATECA_AIZQ,Estudiante-06,Estudiante-06,Main,,C@mbiame1!
TRUE,Estudiante-07,local,ATECA_AIZQ,Estudiante-07,Estudiante-07,Main,,C@mbiame1!
TRUE,Estudiante-08,local,ATECA_AIZQ,Estudiante-08,Estudiante-08,Main,,C@mbiame1!
TRUE,Estudiante-09,local,ATECA_AIZQ,Estudiante-09,Estudiante-09,Main,,C@mbiame1!
TRUE,Estudiante-10,local,ATECA_AIZQ,Estudiante-10,Estudiante-10,Main,,C@mbiame1!
TRUE,Estudiante-11,local,ATECA_AIZQ,Estudiante-11,Estudiante-11,Main,,C@mbiame1!
TRUE,Estudiante-12,local,ATECA_AIZQ,Estudiante-12,Estudiante-12,Main,,C@mbiame1!
TRUE,Estudiante-13,local,ATECA_AIZQ,Estudiante-13,Estudiante-13,Main,,C@mbiame1!
TRUE,Estudiante-14,local,ATECA_AIZQ,Estudiante-14,Estudiante-14,Main,,C@mbiame1!
TRUE,Estudiante-15,local,ATECA_AIZQ,Estudiante-15,Estudiante-15,Main,,C@mbiame1!
TRUE,Estudiante-16,local,ATECA_AIZQ,Estudiante-16,Estudiante-16,Main,,C@mbiame1!
TRUE,Estudiante-17,local,ATECA_AIZQ,Estudiante-17,Estudiante-17,Main,,C@mbiame1!
TRUE,Estudiante-18,local,ATECA_AIZQ,Estudiante-18,Estudiante-18,Main,,C@mbiame1!
TRUE,Estudiante-19,local,ATECA_AIZQ,Estudiante-19,Estudiante-19,Main,,C@mbiame1!
TRUE,Estudiante-20,local,ATECA_AIZQ,Estudiante-20,Estudiante-20,Main,,C@mbiame1!
TRUE,Manager_AIZQ,local,ATECA_AIZQ,Manager_AIZQ,Manager_AIZQ,Main,,C@mbiame1!
TRUE,Profe-01,local,ATECA_AIZQ,Profe-01,Profe-01,Main,,C@mbiame1!
TRUE,Profe-02,local,ATECA_AIZQ,Profe-02,Profe-02,Main,,C@mbiame1!
